num,uni_num,序号,学校名称,学校标识码,主管部门,所在地,办学层次,备注,campusName,lng,lat,uid,area
1069,760,1544,河南工业和信息化职业学院,4141012581,河南省,焦作市,专科,nan,河南工业和信息化职业学院,113.296598,35.203232,fb6e0ad2af250ad93f9a5e37,山阳区
1070,760,1544,河南工业和信息化职业学院,4141012581,河南省,焦作市,专科,nan,河南工业和信息化职业学院,113.216005,35.25171,cc097a4dc80b05c32bb97c6e,解放区
1071,760,1544,河南工业和信息化职业学院,4141012581,河南省,焦作市,专科,nan,河南工业和信息化职业学院太行路校区(焦作地理信息产业园),113.215675,35.252783,fd6b6f71ac29c46e26d2bb9f,解放区
1072,768,1552,河南工业职业技术学院,4141012794,河南省,南阳市,专科,nan,河南工业职业技术学院(新校区),112.603574,33.043616,2d26cb915e25094c3310afd3,宛城区
1073,768,1552,河南工业职业技术学院,4141012794,河南省,南阳市,专科,nan,河南工业职业技术学院(老校区),112.551321,33.01316,c9e43972289e5a769d9d68df,宛城区
1074,768,1552,河南工业职业技术学院,4141012794,河南省,南阳市,专科,nan,河南工业职业技术学院文化路生活区,112.53454,33.008752,fa7da3e878f11b6142d63ef1,卧龙区
1075,768,1552,河南工业职业技术学院,4141012794,河南省,南阳市,专科,nan,河南工业职业技术学院-软件职业技术学院,112.606169,33.044153,93adeef6a4984c64e5e965f3,宛城区
1076,772,1556,河南质量工程职业学院,4141013564,河南省,平顶山市,专科,nan,河南质量工程职业学院,113.297889,33.71859,764672e597ffffad95ec84b8,湛河区
1077,776,1560,商丘医学高等专科学校,4141013782,河南省,商丘市,专科,nan,商丘医学高等专科学校(新校区),115.714852,34.36339,7d6e6e90cf2ca5f193114c9a,梁园区
1078,795,1579,新乡职业技术学院,4141014245,河南省,新乡市,专科,nan,新乡职业技术学院,114.048985,35.284734,5e53af1a376f5b224051c09b,红旗区
1079,795,1579,新乡职业技术学院,4141014245,河南省,新乡市,专科,nan,新乡职业技术学院(北校区),114.046723,35.397116,4f64412b1abc50b9ab0dd8b8,卫辉市
1080,795,1579,新乡职业技术学院,4141014245,河南省,新乡市,专科,nan,新乡职业技术学院,114.047097,35.28511,b263c45bafdf4557ee74f864,红旗区
1081,803,1587,河南应用技术职业学院,4141014307,河南省,郑州市,专科,nan,河南应用技术职业学院,113.545708,34.778737,79fd6ea21a99ea35d42ce259,中原区
1082,803,1587,河南应用技术职业学院,4141014307,河南省,郑州市,专科,nan,河南应用技术职业学院-家属院,113.546952,34.778938,87a7b3d835292bf1c0f1cfb9,中原区
1083,817,1601,河南医学高等专科学校,4141014466,河南省,郑州市,专科,nan,河南医学高等专科学校,113.713892,34.620649,c7fb04bdf9d2e315fa0cad70,新郑市
1084,817,1601,河南医学高等专科学校,4141014466,河南省,郑州市,专科,nan,河南医学高等专科学校(北校区),113.698252,34.77786,9ee7cc78e938a47016c905fe,金水区
1085,823,1607,濮阳医学高等专科学校,4141014597,河南省,濮阳市,专科,nan,濮阳医学高等专科学校,114.998545,35.817475,961df256ff9c330a8e77273b,华龙区
1086,832,1616,郑州亚欧交通职业学院,4141014685,河南省教育厅,郑州市,专科,中外合作办学,郑州亚欧交通职业学院,113.659273,34.746458,fb4949eef6ba1c001d1d1184,二七区
1087,834,1618,河南对外经济贸易职业学院,4141014712,河南省,开封市,专科,nan,河南对外经济贸易职业学院,114.239919,34.835146,39c5d4b8d9126940e812e406,龙亭区
1088,834,1618,河南对外经济贸易职业学院,4141014712,河南省,开封市,专科,nan,河南对外经济贸易职业学院,114.242262,34.833892,7c66b6e2507e7ec322f0171a,龙亭区
1089,834,1618,河南对外经济贸易职业学院,4141014712,河南省,开封市,专科,nan,河南对外经济贸易职业学院,114.242173,34.833344,2211c610c3f0de20725e8026,龙亭区
1090,835,1619,濮阳石油化工职业技术学院,4141014713,河南省,濮阳市,专科,nan,濮阳石油化工职业技术学院,115.110728,35.778358,0a46dc0f788c3f5e30621250,华龙区
1091,835,1619,濮阳石油化工职业技术学院,4141014713,河南省,濮阳市,专科,nan,濮阳石油化工职业技术学院,115.177514,35.782408,09181b26e7bc67aa97ec8415,华龙区
1092,835,1619,濮阳石油化工职业技术学院,4141014713,河南省,濮阳市,专科,nan,濮阳石油化工职业技术学院,115.177371,35.782374,a0bc10cd48d7e37c4351c07e,华龙区
1093,835,1619,濮阳石油化工职业技术学院,4141014713,河南省,濮阳市,专科,nan,濮阳石油化工职业技术学院,115.177675,35.78248,23b103d0d6269f2b980050a7,华龙区
1094,835,1619,濮阳石油化工职业技术学院,4141014713,河南省,濮阳市,专科,nan,濮阳石油化工职业技术学院,115.177638,35.782404,f2f7e258dd580f36ad04579b,华龙区
1095,837,1621,兰考三农职业学院,4141014715,河南省,开封市,专科,nan,兰考三农职业学院,114.804325,34.804693,85f3bf53109b5962a1046451,兰考县
1096,849,1701,武汉职业技术学院,4142010834,湖北省,武汉市,专科,nan,武汉职业技术学院,114.422856,30.490329,696ec5b04dc2a578100daa43,洪山区
1097,849,1701,武汉职业技术学院,4142010834,湖北省,武汉市,专科,nan,武汉职业技术学院-西区,114.415055,30.492277,606da68639ce6d771811d50f,洪山区
1098,849,1701,武汉职业技术学院,4142010834,湖北省,武汉市,专科,nan,武汉职业技术学院(东区),114.422827,30.490246,ae6053fc13ed3b15f03cba17,洪山区
1099,852,1704,荆州理工职业学院,4142011074,湖北省,荆州市,专科,nan,荆州理工职业学院(中校区),112.259248,30.334966,d627de791437139f5e0d02d2,沙市区
