num,uni_num,序号,学校名称,学校标识码,主管部门,所在地,办学层次,备注,campusName,lng,lat,uid,area
41,10,11,北京工商大学,4111010011,北京市,北京市,本科,公办,北京工商大学良乡校区(西区),116.17051,39.724782,11eccf8066150eb3bbbd6303,房山区
42,10,11,北京工商大学,4111010011,北京市,北京市,本科,公办,北京工商大学东区法学院,116.326915,39.930303,0901ce84ee093f59e3110340,海淀区
43,10,11,北京工商大学,4111010011,北京市,北京市,本科,公办,北京工商大学良乡校区(东区),116.176146,39.724734,08364d68a873581ad12dd63f,房山区
44,10,11,北京工商大学,4111010011,北京市,北京市,本科,公办,北京工商大学(良乡),116.173147,39.724545,bfc194ccbf7fa3ec902ca3ec,房山区
45,11,12,北京服装学院,4111010012,北京市,北京市,本科,公办,北京服装学院,116.437457,39.980234,fe3530327a511d0933621276,朝阳区
46,11,12,北京服装学院,4111010012,北京市,北京市,本科,公办,北京服装学院(北校区),116.432532,40.154817,ffd6d403cc4c36f217b54b9c,昌平区
47,11,12,北京服装学院,4111010012,北京市,北京市,本科,公办,北京服装学院(牡丹园校区),116.379518,39.987744,943fe06e34c529477c29bda2,海淀区
48,12,13,北京邮电大学,4111010013,教育部,北京市,本科,公办,北京邮电大学,116.364594,39.96725,d15c450f32f5b7317ec8767f,海淀区
49,12,13,北京邮电大学,4111010013,教育部,北京市,本科,公办,北京邮电大学(宏福校区),116.381659,40.114876,a3823d541f0ad05dc9fa5f41,昌平区
50,12,13,北京邮电大学,4111010013,教育部,北京市,本科,公办,北京邮电大学(沙河校区),116.295299,40.163661,bba40e7b796067514e776e24,昌平区
51,12,13,北京邮电大学,4111010013,教育部,北京市,本科,公办,北京邮电大学世纪学院,115.89997,40.377471,edabd8140827cac4774ff18c,延庆区
52,12,13,北京邮电大学,4111010013,教育部,北京市,本科,公办,北京邮电大学(眷20楼),116.365726,39.964931,8638f79d8ac9f781fbdc85ce,海淀区
53,12,13,北京邮电大学,4111010013,教育部,北京市,本科,公办,北京邮电大学(眷15楼),116.362022,39.965433,e5e3ef6fdc130c484c554744,海淀区
54,13,14,北京印刷学院,4111010015,北京市,北京市,本科,公办,北京印刷学院,116.33571,39.750402,1c410871dd1e9c791ef74dbf,大兴区
55,13,14,北京印刷学院,4111010015,北京市,北京市,本科,公办,北京印刷学院(康庄校区),116.319665,39.765338,93df0dc3f7c6a22b882fb5fa,大兴区
56,13,14,北京印刷学院,4111010015,北京市,北京市,本科,公办,北京印刷学院附属小学,116.32161,39.759931,1edb07eea31b233e990050d1,大兴区
57,14,15,北京建筑大学,4111010016,北京市,北京市,本科,公办,北京建筑大学,116.347969,39.940685,2ff3894f694272ad6f3e1b00,西城区
58,14,15,北京建筑大学,4111010016,北京市,北京市,本科,公办,北京建筑大学(大兴校区),116.292894,39.754691,1c5e2928aaf259f742d63ea1,大兴区
59,14,15,北京建筑大学,4111010016,北京市,北京市,本科,公办,北京建筑大学附属中学(芦城校区),116.30358,39.754495,fac7e29eb55d291dc9e33cb8,大兴区
60,14,15,北京建筑大学,4111010016,北京市,北京市,本科,公办,北京建筑大学附属小学,116.342941,39.94102,1a421787c208f3a5c929154a,西城区
61,15,16,北京石油化工学院,4111010017,北京市,北京市,本科,公办,北京石油化工学院,116.332327,39.753911,b38630159a794099cafa5fc4,大兴区
62,15,16,北京石油化工学院,4111010017,北京市,北京市,本科,公办,北京石油化工学院(康庄校区),116.319674,39.76316,edc42e74661e0c2514c8f603,大兴区
63,15,16,北京石油化工学院,4111010017,北京市,北京市,本科,公办,北京石油化工学院(燕山校区),115.951516,39.746033,74a2770163daffed31870ae1,房山区
64,16,17,北京电子科技学院,4111010018,中央办公厅,北京市,本科,公办,北京电子科技学院,116.286097,39.843926,563ace11583fd4c9d1f49eee,丰台区
65,17,18,中国农业大学,4111010019,教育部,北京市,本科,公办,中国农业大学(东校区),116.364154,40.010185,9abe8f3c93a5053552e5c5d1,海淀区
66,17,18,中国农业大学,4111010019,教育部,北京市,本科,公办,中国农业大学(西校区),116.289259,40.033156,6fdf4c8d04a08f4a8836eee6,海淀区
67,18,19,北京农学院,4111010020,北京市,北京市,本科,公办,北京农学院,116.317085,40.100942,750368359adc38af5e0d0265,昌平区
68,18,19,北京农学院,4111010020,北京市,北京市,本科,公办,北京农学院大学科技园(二区),116.146509,40.184895,dfce3eb4265327618505bf78,昌平区
69,18,19,北京农学院,4111010020,北京市,北京市,本科,公办,北京农学院-家属宿舍区,116.312241,40.098128,e3e2cd9d83a6b8e3c7f50d65,昌平区
70,18,19,北京农学院,4111010020,北京市,北京市,本科,公办,北京农学院(北校区),116.316014,40.107565,a71b2b31e3cba35b34b06c7d,昌平区
71,19,20,北京林业大学,4111010022,教育部,北京市,本科,公办,北京林业大学,116.351835,40.007893,4cf8d24e3ad2c5e49df779ab,海淀区
72,19,20,北京林业大学,4111010022,教育部,北京市,本科,公办,北京林业大学(鹫峰校区),116.111748,40.070554,a9b456829b6f1d3e99005020,海淀区
73,19,20,北京林业大学,4111010022,教育部,北京市,本科,公办,北京林业大学,116.350378,40.006433,bb6109ec89d4c68fad31e50b,海淀区
74,20,21,北京协和医学院,4111010023,国家卫生健康委员会,北京市,本科,公办,北京协和医学院,116.421237,39.917338,88759294875f60da5d17c342,东城区
75,20,21,北京协和医学院,4111010023,国家卫生健康委员会,北京市,本科,公办,北京协和医学院护理学院,116.204904,39.949902,7d3a3ce0656be1d902294f1c,石景山区
76,21,22,首都医科大学,4111010025,北京市,北京市,本科,公办,首都医科大学,116.359317,39.865748,665792918de094ac0c0a70a8,丰台区
77,21,22,首都医科大学,4111010025,北京市,北京市,本科,公办,首都医科大学燕京医学院,116.672757,40.133832,91c13f93bbcecffa20f01788,顺义区
78,21,22,首都医科大学,4111010025,北京市,北京市,本科,公办,首都医科大学(花乡校区),116.330441,39.849214,94b60a2720a7e47f08ccdd67,丰台区
79,22,23,北京中医药大学,4111010026,教育部,北京市,本科,公办,北京中医药大学(西校区),116.434476,39.977288,0679a1395d69422deee4a5fa,朝阳区
80,22,23,北京中医药大学,4111010026,教育部,北京市,本科,公办,北京中医药大学(东校区),116.478352,39.986835,c7eca12b9ebd934ae115f9e3,朝阳区
81,22,23,北京中医药大学,4111010026,教育部,北京市,本科,公办,北京中医药大学(良乡校区),116.175486,39.718074,1e57aec92c44894da11de98f,房山区
82,22,23,北京中医药大学,4111010026,教育部,北京市,本科,公办,北京中医药大学房山医院(良乡分院),116.142014,39.735201,56f2f696933803990aa8d4c2,房山区
