num,uni_num,序号,学校名称,学校标识码,主管部门,所在地,办学层次,备注,campusName,lng,lat,uid,area,get
793,572,1184,泉州华光职业学院,4135012927,福建省教育厅,泉州市,专科,民办,泉州华光职业学院(北区),118.709693,24.971114,e420b3d044aa5784a8f729f9,惠安县,1
796,573,1185,闽北职业技术学院,4135013764,福建省,南平市,专科,,闽北职业技术学院(江南校区),118.258048,26.584793,14b279c95039f064940319ad,延平区,1
798,574,1186,福州黎明职业技术学院,4135013765,福建省教育厅,福州市,专科,民办,福州黎明职业技术学院,119.186194,25.912993,181653345a32c907fb2d61cc,闽侯县,1
799,574,1186,福州黎明职业技术学院,4135013765,福建省教育厅,福州市,专科,民办,福州黎明职业技术学院(福屿校区),119.284842,26.084457,b292b3aa88a0492bbe4842e2,鼓楼区,1
801,575,1187,厦门演艺职业学院,4135013767,福建省教育厅,厦门市,专科,民办,厦门演艺职业学院,118.272552,24.588576,8b960c32f7bead3c40e19231,翔安区,1
802,576,1188,厦门华天涉外职业技术学院,4135013768,福建省教育厅,厦门市,专科,民办,厦门华天涉外职业技术学院,118.256782,24.609822,4cf8d24e24a1cbe49cf7795a,翔安区,1
803,577,1189,福州科技职业技术学院,4135013769,福建省教育厅,福州市,专科,民办,福州科技职业技术学院,119.253429,26.085497,5211d219a286215a7dc87604,仓山区,1
807,580,1192,湄洲湾职业技术学院,4135013772,福建省,莆田市,专科,,湄洲湾职业技术学院,118.861672,25.270463,881a28e7249a0d47f942b27a,仙游县,1
808,580,1192,湄洲湾职业技术学院,4135013772,福建省,莆田市,专科,,湄洲湾职业技术学院(梧塘校区),119.096454,25.503662,7ef85129f87436d716c9056a,涵江区,1
809,581,1193,福建生物工程职业技术学院,4135013969,福建省,福州市,专科,,福建生物工程职业技术学院,119.25334,26.086639,15e1e85e216c77a25810935a,仓山区,1
810,581,1193,福建生物工程职业技术学院,4135013969,福建省,福州市,专科,,福建生物工程职业技术学院(铜盘校区),119.259763,26.110519,1dff81b60f0473e13f9a5e68,闽侯县,1
811,583,1195,福建幼儿师范高等专科学校,4135013972,福建省,福州市,专科,,福建幼儿师范高等专科学校,119.312999,26.036059,cf8463352747e37feddfca87,仓山区,1
812,583,1195,福建幼儿师范高等专科学校,4135013972,福建省,福州市,专科,,福建幼儿师范高等专科学校(白马校区),119.294011,26.087112,69fcd6df46ec432ecb2915b6,鼓楼区,1
813,583,1195,福建幼儿师范高等专科学校,4135013972,福建省,福州市,专科,,福建幼儿师范高等专科学校(金山校区),119.271086,26.033532,2b9810cd7a1f1832f33cbac4,仓山区,1
814,584,1196,厦门城市职业学院,4135013973,福建省,厦门市,专科,,厦门城市职业学院,118.172844,24.468855,691305231574820a735e80ae,思明区,1
815,584,1196,厦门城市职业学院,4135013973,福建省,厦门市,专科,,厦门城市职业学院(斗西校区),118.092488,24.471295,d6c5d991477891e930169b76,思明区,1
816,587,1199,宁德职业技术学院,4135013977,福建省,宁德市,专科,,宁德职业技术学院,119.662702,27.100689,a3f21eeea57a86442eb17ea4,福安市,1
819,588,1200,福州软件职业技术学院,4135013978,福建省教育厅,福州市,专科,民办,福州软件职业技术学院(长乐校区),119.709605,25.974794,102eecc1f6956e7135b06c45,长乐区,1
820,590,1202,厦门软件职业技术学院,4135014059,福建省教育厅,厦门市,专科,民办,厦门软件职业技术学院,118.081478,24.622274,783a63f07e5f1c8a9ef7795a,集美区,1
821,591,1203,福建体育职业技术学院,4135014060,福建省,福州市,专科,,福建体育职业技术学院,119.306166,26.118805,f99854c4c3a4cd04fd0eb098,鼓楼区,1
822,593,1205,厦门南洋职业学院,4135014111,福建省教育厅,厦门市,专科,民办,厦门南洋职业学院,118.2595,24.606617,3ccd35af7705910d13293516,翔安区,1
823,594,1206,厦门东海职业技术学院,4135014112,福建省教育厅,厦门市,专科,民办,厦门东海职业技术学院,118.179015,24.751717,5e5d952775e77d255f0d02b5,同安区,1
824,595,1207,漳州科技职业学院,4135014113,福建省教育厅,漳州市,专科,民办,漳州科技职业学院,117.543091,24.082247,9ee5a929741be0e5c72ba114,漳浦县,1
825,598,1210,漳州卫生职业学院,4135014117,福建省,漳州市,专科,,漳州卫生职业学院,117.640172,24.533657,50fb64ff7962e95de9f8531d,芗城区,1
826,600,1212,泉州轻工职业学院,4135014232,福建省教育厅,泉州市,专科,民办,泉州轻工职业学院,118.554034,24.81646,5c56edd65f235159a1d230dc,晋江市,1
827,606,1263,上饶幼儿师范高等专科学校,3636000312,江西省,上饶市,专科,,上饶幼儿师范高等专科学校,117.988372,28.423997,7e363692b8b0f6598733046b,信州区,1
829,607,1264,抚州幼儿师范高等专科学校,3636000519,江西省,抚州市,专科,,抚州幼儿师范高等专科学校,116.418811,27.954949,4f57559939943d0d95ec84b1,临川区,1
830,609,1266,江西医学高等专科学校,4136010888,江西省,上饶市,专科,,江西医学高等专科学校,117.983285,28.424548,7bfd452371de1a9e4bcc4aeb,信州区,1
831,610,1267,九江职业大学,4136011505,江西省,九江市,专科,,九江职业大学(濂溪校区),116.008904,29.658458,588f6e173fac38641e580038,濂溪区,1
832,610,1267,九江职业大学,4136011505,江西省,九江市,专科,,九江职业大学(鹤问湖校区),115.968728,29.707419,17dbfe64cc6d36192fb908ef,浔阳区,1
835,611,1268,九江职业技术学院,4136011785,江西省,九江市,专科,,九江职业技术学院,115.999008,29.686579,4fa7c073a62b6f0ef82d6125,濂溪区,1
836,611,1268,九江职业技术学院,4136011785,江西省,九江市,专科,,九江职业技术学院(濂溪校区),116.021312,29.676474,fc4a3a3eea951249bb17e7d5,濂溪区,1
837,615,1272,江西电力职业技术学院,4136012933,江西省,南昌市,专科,,江西电力职业技术学院,115.815475,28.723998,bd5046e8c54a2341d72ce209,新建区,1
838,616,1273,江西环境工程职业学院,4136012934,江西省,赣州市,专科,,江西环境工程职业学院(东江源校区),114.921123,25.889649,ada07f48ac1607b2c51b759c,章贡区,1
840,616,1273,江西环境工程职业学院,4136012934,江西省,赣州市,专科,,江西环境工程职业学院九龙驾校,114.920411,25.88599,2c0c49503bcdd27716a19081,章贡区,1
841,618,1275,鹰潭职业技术学院,4136012937,江西省,鹰潭市,专科,,鹰潭职业技术学院,117.063484,28.301142,558eb93b68f29d6081288a66,贵溪市,1
845,619,1276,江西信息应用职业技术学院,4136012939,江西省,南昌市,专科,,江西信息应用职业技术学院,115.91224,28.593585,cac5fc7642ad3ff32cb96d1b,青云谱区,1
846,621,1278,江西财经职业学院,4136012941,江西省,九江市,专科,,江西财经职业学院,116.001418,29.710789,c04f0ed001fa8093f13cba9f,浔阳区,1
847,621,1278,江西财经职业学院,4136012941,江西省,九江市,专科,,江西财经职业学院(八里湖校区),115.92126,29.641359,ea5fcd0c67c8781a636858b8,柴桑区,1
848,622,1279,江西应用技术职业学院,4136012942,江西省,赣州市,专科,,江西应用技术职业学院(黄金校区),114.900057,25.808199,17009d98c353ecee1894c6f1,章贡区,1
849,622,1279,江西应用技术职业学院,4136012942,江西省,赣州市,专科,,江西应用技术职业学院(章贡校区),114.950922,25.853707,2e00c5ddabafbb1cd7851f39,章贡区,1
850,628,1285,江西工业贸易职业技术学院,4136013423,江西省,南昌市,专科,,江西工业贸易职业技术学院,115.793989,28.660004,844a750ea8dd9bc462685827,红谷滩区,1
853,631,1288,江西生物科技职业学院,4136013426,江西省,南昌市,专科,,江西生物科技职业学院,115.944008,28.568898,87248d9604dea1b32806ce62,南昌县,1
