FID,num,序号,学校名,学校标,主管部,所在地,办学层,备注,campusName,uid,area,lngN,latN,面积,EXT_MIN_X,EXT_MIN_Y,EXT_MAX_X,EXT_MAX_Y,lngC,latC,x_min,x_max,dx,y_min,y_max,dy
736,1879,1385,齐鲁理工学院,4137013998.000000000000000,山东省教育厅,济南市,本科,民办,齐鲁理工学院(济南校区),fd4dcf04b52f20946140a926,章丘区,117.537294099999997,36.678730620000003,39.6068001,117.533939660000001,36.670855528700002,117.541229654999995,36.680470763999999,117.537584656999996,36.675663146399998,108328,108331,3,51166,51162,4
737,1729,1337,山东第一医科大学,4137010439.000000000000000,山东省,济南市,本科,公办,山东第一医科大学(济南主校区),deb82889efba6b958936ee0f,槐荫区,116.864223100000004,36.678863990000004,133.2299957,116.855074658000007,36.672127680400003,116.873174641000006,36.685989216599999,116.864124649999994,36.679058448500001,108081,108088,7,51166,51160,6
738,1708,1331,山东建筑大学,4137010430.000000000000000,山东省,济南市,本科,公办,山东建筑大学,5e1e9d1f9741a408db131872,历城区,117.179732799999996,36.680451789999999,103.3560028,117.172501109999999,36.671483950099997,117.186431837000001,36.687222938200001,117.179466473000005,36.679353444100002,108197,108202,5,51166,51159,7
739,1792,1352,山东体育学院,4137010457.000000000000000,山东省,济南市,本科,公办,山东体育学院,96b6a53c1c51c74d2b3a9f03,历城区,117.187407800000003,36.684834729999999,52.8446999,117.181481407000007,36.681277424599998,117.192890922000004,36.687786006099998,117.187186165000000,36.684531715299997,108200,108204,4,51162,51159,3
740,1837,1367,山东英才学院,4137013006.000000000000000,山东省教育厅,济南市,本科,民办,山东英才学院,20b48d83ee77f36009b93aa9,历城区,117.315782200000001,36.687458370000002,46.9047012,117.308178601999998,36.685047811099999,117.321022431000003,36.690222108800000,117.314600517000002,36.687634959999997,108246,108251,5,51160,51158,2
741,1816,1360,潍坊学院,4137011067.000000000000000,山东省,潍坊市,本科,公办,潍坊学院,46f12fd27fec7ae3373a7172,奎文区,119.174338599999999,36.716985610000002,63.8011017,119.169736403000002,36.713250262800003,119.178919308999994,36.720828570099997,119.174327856000005,36.717039416399999,108924,108927,3,51147,51144,3
742,3341,2670,青海大学,4163010743.000000000000000,青海省,西宁市,本科,公办,青海大学,29facdd723e0a7013ee231cb,城北区,101.747440999999995,36.728141880000003,106.4250031,101.741930366999995,36.722771026700002,101.752970203000004,36.733545004800000,101.747450284999999,36.728158015699996,102579,102583,4,51143,51138,5
743,3345,2671,青海师范大学,4163010746.000000000000000,青海省,西宁市,本科,公办,青海师范大学(城北校区),b9ab1311674b21a3fbdc8542,城北区,101.747584300000000,36.742803619999997,79.1401978,101.742902435000005,36.738576061000003,101.752496679000004,36.747003771199999,101.747699557000004,36.742789916100001,102579,102582,3,51136,51132,4
744,1717,1333,山东理工大学,4137010433.000000000000000,山东省,淄博市,本科,公办,山东理工大学,e210ca65ec09b0048605bffb,张店区,117.995834700000003,36.809331340000000,141.7369995,117.986769984000006,36.804675798200002,118.004440322999997,36.815939174100002,117.995605154000003,36.810307486200003,108493,108500,7,51106,51100,6
745,1796,1354,齐鲁医药学院,4137010825.000000000000000,山东省教育厅,淄博市,本科,民办,齐鲁医药学院(新校区),350b42fcf37f2cb08e772770,周村区,117.909611600000005,36.825378700000002,54.7448997,117.906805732999999,36.820355401500002,117.917394191000000,36.828011428400004,117.912099961999999,36.824183414899998,108464,108468,4,51098,51095,3
746,1838,1367,山东英才学院,4137013006.000000000000000,山东省教育厅,济南市,本科,民办,山东英才学院(北校区),fd7cbf1998a2e6fe9868b426,济阳区,117.104186400000003,36.853690409999999,36.5777016,117.100425830999995,36.850206864199997,117.107642859999999,36.856711509000000,117.104034345000002,36.853459186599999,108170,108173,3,51085,51082,3
747,1876,1382,山东外事职业大学,4137013874.000000000000000,山东省教育厅,威海市,本科,民办,山东外事职业大学(威海校区),c690ace2c26ea252e0110355,乳山市,121.745260700000003,36.871832980000001,81.3947983,121.737636559999999,36.865397068500002,121.752758595000003,36.876551066200001,121.745197576999999,36.870974067399999,109859,109864,5,51078,51073,5
748,1834,1366,潍坊科技学院,4137012843.000000000000000,山东省教育厅,潍坊市,本科,民办,潍坊科技学院,0ce65c2daa74bc582d47337b,寿光市,118.769560600000005,36.884128359999998,127.5540009,118.761903705999998,36.878888191300000,118.775883458999999,36.890501339200000,118.768893582000004,36.884694765299997,108775,108780,5,51072,51067,5
749,369,194,河北科技工程职业技术大学,4113016203.000000000000000,河北省,邢台市,本科,公办,河北科技工程职业技术大学,e116be5434ed387bc81b959c,信都区,114.446005400000004,37.084862729999998,45.8800011,114.443577529999999,37.080898161500002,114.457854957999999,37.086024779100001,114.450716244000006,37.083461470300001,107203,107208,5,50980,50977,3
750,307,169,邢台学院,4113010104.000000000000000,河北省,邢台市,本科,公办,邢台学院,eda5e8c8297d8cdcbda24055,襄都区,114.498729999999995,37.088738260000000,48.7242012,114.493085016999999,37.085469922199998,114.504050694000000,37.091293196000002,114.498567855000005,37.088381559100000,107221,107225,4,50978,50975,3
751,405,276,山西农业大学,4114010113.000000000000000,山西省,晋中市,本科,公办,山西农业大学(山西省农业科学院)太谷校区,06d2dffd52ea83f788f15d38,太谷区,112.577614800000006,37.423416580000001,59.8008995,112.571046390000006,37.419868991000001,112.586460285000001,37.425861673599996,112.578753337999999,37.422865332299999,106521,106527,6,50825,50822,3
752,451,294,晋中信息学院,4114013535.000000000000000,山西省教育厅,晋中市,本科,民办,晋中信息学院,fe939dc22b73b1874d776e97,太谷区,112.566719000000006,37.450364209999996,55.6523018,112.565604421000003,37.443819274500001,112.578048674000001,37.453334793200000,112.571826547000001,37.448577033900001,106519,106524,5,50814,50809,5
753,1853,1373,烟台理工学院,4137013359.000000000000000,山东省教育厅,烟台市,本科,民办,烟台理工学院,be1ea5efac4cb1be14948e5d,莱山区,121.472701099999995,37.454069500000003,42.8578987,121.467325041999999,37.450740866700002,121.476047235999999,37.457801608099999,121.471686138999999,37.454271237400000,109760,109764,4,50811,50807,4
754,1872,1381,山东华宇工学院,4137013857.000000000000000,山东省教育厅,德州市,本科,民办,山东华宇工学院,637df60ab590517340afe667,德城区,116.353486300000000,37.464108930000002,43.9085999,116.348509630999999,37.461758359900003,116.358571613999999,37.466537063899999,116.353540621999997,37.464147711899997,107897,107900,3,50806,50803,3
755,1755,1344,德州学院,4137010448.000000000000000,山东省,德州市,本科,公办,德州学院,4e1c3f307c2f6f51ebf85368,德城区,116.327006400000002,37.470404299999998,100.5759964,116.323890977999994,37.465455180200003,116.341672689000006,37.475014030200001,116.332781834000002,37.470234605199998,107888,107894,6,50804,50799,5
756,1814,1359,烟台大学,4137011066.000000000000000,山东省,烟台市,本科,公办,烟台大学(北区),a5d13ecb520ae69d2efaa79f,莱山区,121.452155200000007,37.477933980000003,101.1620026,121.448500343000006,37.468752737899997,121.461891502000000,37.481459511499999,121.455195922000001,37.475106124699998,109754,109758,4,50802,50796,6
757,1828,1363,山东工商学院,4137011688.000000000000000,山东省,烟台市,本科,公办,山东工商学院(西校区),9bb7f4ff5fe5fc3589db73e9,莱山区,121.434903000000006,37.478555729999997,35.6244011,121.431300664000005,37.475396172000004,121.439600080000005,37.482021382500001,121.435450372000005,37.478708777300000,109747,109750,3,50799,50796,3
758,1826,1363,山东工商学院,4137011688.000000000000000,山东省,烟台市,本科,公办,山东工商学院,ebe5b1cf86456bb0e5073877,莱山区,121.441831800000003,37.484554230000001,37.9202995,121.436928148000007,37.480841273400003,121.446387126000005,37.487932832799999,121.441657637000006,37.484387053100001,109749,109753,4,50797,50794,3
759,1762,1346,鲁东大学,4137010451.000000000000000,山东省,烟台市,本科,公办,鲁东大学,c0986e84f164af8096f08c0f,芝罘区,121.353683200000006,37.522208990000003,115.4300003,121.347490672999996,37.514522295799999,121.360038513999996,37.530240807600002,121.353764592999994,37.522381551700001,109717,109721,4,50781,50774,7
760,440,290,山西警察学院,4114012111.000000000000000,山西省,太原市,本科,公办,山西警察学院(新校区),1160f6a85a0de14dd518b79c,清徐县,112.491398099999998,37.567277130000001,41.1908989,112.486570051000001,37.563805405600000,112.495830069999997,37.570046419800001,112.491200061000001,37.566925912700000,106491,106494,3,50759,50756,3
761,435,288,吕梁学院,4114010812.000000000000000,山西省,吕梁市,本科,公办,吕梁学院,5d75c0da296a5408cd04ef33,离石区,111.140574500000000,37.580618819999998,104.3239975,111.135176381999997,37.574625017700001,111.146063366000007,37.587075360199997,111.140619873999995,37.580850188900001,105999,106003,4,50754,50748,6
762,298,166,衡水学院,4113010101.000000000000000,河北省,衡水市,本科,公办,衡水学院(滨湖校区),df4dcb36d6cbd6256c4760c0,冀州区,115.673494899999994,37.608986100000003,33.6987991,115.671110502000005,37.608253640599997,115.679791406000007,37.614780988800000,115.675450953999999,37.611517314700002,107650,107653,3,50738,50735,3
763,442,291,山西应用科技学院,4114012779.000000000000000,山西省教育厅,太原市,本科,民办,山西应用科技学院(新校区),7f9d5000d864a9fbf603b842,小店区,112.571215600000002,37.623176930000000,58.4827995,112.564319521000002,37.620107885199999,112.575368584000003,37.627742933000000,112.569844052999997,37.623925409100003,106519,106523,4,50733,50729,4
764,436,289,太原学院,4114011242.000000000000000,山西省,太原市,本科,公办,太原学院,2bfb7de160144ae44054d7f3,小店区,112.600928900000000,37.693265369999999,56.7296982,112.596825972999994,37.689711607100001,112.606312635999998,37.696986519900001,112.601569304999998,37.693349063500001,106531,106534,3,50701,50697,4
765,1830,1365,烟台南山学院,4137012332.000000000000000,山东省教育厅,烟台市,本科,民办,烟台南山学院(东海校区),7590904d58bfcce91329357a,龙口市,120.436679299999994,37.720930940000002,152.2960052,120.431742611000004,37.710676643500001,120.443065371000003,37.735526728799996,120.437403990999996,37.723101686200003,109383,109387,4,50691,50680,11
766,414,279,山西师范大学,4114010118.000000000000000,山西省,临汾市,本科,公办,山西师范大学(太原校区),b03cb59ed4392e024e776e9d,小店区,112.655932600000000,37.741766300000002,97.8481979,112.650581600999999,37.739151074399999,112.662492788999998,37.752993245100001,112.656537194999999,37.746072159699999,106550,106555,5,50678,50672,6
767,466,305,山西能源学院,4214051189.000000000000000,山西省,晋中市,本科,公办,山西能源学院,1f59f49f65ca6ced38e4a6d1,榆次区,112.730519400000006,37.752140359999999,35.5523987,112.729183332000005,37.745711031799999,112.734243946000007,37.753641009600003,112.731713639000006,37.749676020700001,106579,106581,2,50675,50671,4
768,430,286,山西财经大学,4114010125.000000000000000,山西省,太原市,本科,公办,山西财经大学(坞城校区),93eaeda1f4b3354c4d776e74,小店区,112.582991000000007,37.790862980000000,45.3237991,112.578577577000004,37.783961147799999,112.588052548999997,37.792925976299998,112.583315063000001,37.788443561999998,106524,106528,4,50657,50653,4
769,389,272,山西大学,4114010108.000000000000000,山西省,太原市,本科,公办,山西大学(坞城校区),b83640b88a77795cd42ce25f,小店区,112.581035000000000,37.799318499999998,81.9879990,112.578378340000000,37.793445662499998,112.587047855999998,37.806675661200003,112.582713097999999,37.800060661800003,106524,106527,3,50653,50647,6
770,401,275,太原理工大学,4114010112.000000000000000,山西省,太原市,本科,公办,太原理工大学(迎西校区),4aaa583b3545ea10d92f2855,万柏林区,112.515553400000002,37.860146640000004,39.5651016,112.512463988999997,37.857536921700003,112.520037208000005,37.864809674299998,112.516250597999999,37.861173297999997,106500,106503,3,50623,50620,3
771,393,273,太原科技大学,4114010109.000000000000000,山西省,太原市,本科,公办,太原科技大学(东校区),f757e6eea794b616260bd05e,万柏林区,112.486287399999995,37.875223929999997,30.0125999,112.483800368000004,37.871512836900003,112.489048061000005,37.879653808199997,112.486424215000000,37.875583322499999,106490,106492,2,50617,50613,4
772,465,304,山西工程技术学院,4114014527.000000000000000,山西省,阳泉市,本科,公办,山西工程技术学院,9f6e0b50011665616f4760dc,郊区,113.600270600000002,37.881626679999997,46.7368011,113.595683574999995,37.876905796300001,113.605662230999997,37.886740042800000,113.600672903000003,37.881822919599998,106894,106898,4,50615,50610,5
773,372,198,石家庄铁道大学四方学院,4113013593.000000000000000,河北省教育厅,石家庄市,本科,民办,石家庄铁道大学四方学院(南校区),11762e604deb7070901fc9f3,元氏县,114.400058900000005,37.883024429999999,37.1263008,114.396749045000007,37.879700581100003,114.404303307000006,37.886867378399998,114.400526176000000,37.883283979799998,107186,107189,3,50613,50610,3
774,349,183,河北传媒学院,4113012784.000000000000000,河北省教育厅,石家庄市,本科,民办,河北传媒学院(兴安校区),d5130ce8065e0a3e48cc4adb,栾城区,114.658383999999998,37.906292999999998,30.8843994,114.655580274000002,37.902399885700000,114.660664909999994,37.909811589400000,114.658122591999998,37.906105737499999,107280,107282,2,50603,50599,4
775,458,301,太原工业学院,4114014101.000000000000000,山西省,太原市,本科,公办,太原工业学院,ccf1159db8240468d22dd693,尖草坪区,112.539338499999999,37.957345420000003,42.7556000,112.531724552000000,37.955528951799998,112.543667262000000,37.960152449900001,112.537695907000000,37.957840700799999,106507,106511,4,50578,50576,2
776,256,154,河北科技大学,4113010082.000000000000000,河北省,石家庄市,本科,公办,河北科技大学,5c56edd6db9bd55aa1d2306a,裕华区,114.516121200000001,37.977600279999997,142.0989990,114.507841315999997,37.972045812799998,114.523582590999993,37.982061866099997,114.515711952999993,37.977053839400000,107227,107232,5,50571,50566,5
777,276,161,河北师范大学,4113010094.000000000000000,河北省,石家庄市,本科,公办,河北师范大学,42362707d679c71f5cbe86c3,裕华区,114.513907200000006,37.997161069999997,92.3443985,114.507214383999994,37.993146689299998,114.522923492000004,38.000596992100000,114.515068937999999,37.996871840700003,107226,107232,6,50561,50557,4
778,394,274,中北大学,4114010110.000000000000000,山西省,太原市,本科,公办,中北大学,f1894c63907531acd618b7a9,尖草坪区,112.440540200000001,38.014233910000002,106.8349991,112.433771504000006,38.008775550800003,112.449397597000001,38.018808130200000,112.441584551000005,38.013791840499998,106471,106477,6,50554,50549,5
779,299,167,石家庄学院,4113010102.000000000000000,河北省,石家庄市,本科,公办,石家庄学院,d271057c0a3a02c049fc8d03,裕华区,114.594456500000007,38.018986210000001,56.5680008,114.589600953000001,38.013601238900002,114.597180687000005,38.022976531399998,114.593390819999996,38.018288885099999,107256,107259,3,50551,50547,4
780,310,171,石家庄铁道大学,4113010107.000000000000000,河北省,石家庄市,本科,公办,石家庄铁道大学,e4c39286fe1b45567369d31f,长安区,114.502494299999995,38.082746460000003,41.2113991,114.496996835000004,38.080027132399998,114.509290223999997,38.085507687099998,114.503143528999999,38.082767409699997,107223,107227,4,50521,50518,3
781,334,177,河北体育学院,4113011236.000000000000000,河北省,石家庄市,本科,公办,河北体育学院,89fd4ea3b88c8647e5e96567,长安区,114.494686999999999,38.121581810000002,31.1294003,114.486423462999994,38.119272768000002,114.496766604000001,38.123943467200000,114.491595033999999,38.121608117599997,107219,107223,4,50503,50500,3
782,344,181,河北经贸大学,4113011832.000000000000000,河北省,石家庄市,本科,公办,河北经贸大学,917e98092f9aa6e32d473316,正定县,114.487043900000003,38.134305310000002,92.2118988,114.478707995999997,38.129186270500000,114.491841050999994,38.140098839099998,114.485274523000001,38.134642554800003,107216,107221,5,50498,50493,5
783,3372,2688,银川能源学院,4164013820.000000000000000,宁夏回族自治区教育厅,银川市,本科,民办,银川能源学院,3f7b3d6abb469563100daa97,永宁县,106.225955499999998,38.246850389999999,57.8544998,106.218002675999998,38.242992525799998,106.234631492000005,38.249596048800001,106.226317084000002,38.246294287300003,104208,104214,6,50445,50442,3
784,309,170,沧州师范学院,4113010105.000000000000000,河北省,沧州市,本科,公办,沧州师范学院,c43b11720d1e0dc6f5c59c26,运河区,116.777892600000001,38.284509290000003,36.4203987,116.773923474000000,38.282014609199997,116.782104501000006,38.287047651899996,116.778013987999998,38.284531130500000,108052,108055,3,50427,50425,2
785,261,156,河北水利电力学院,4113010085.000000000000000,河北省,沧州市,本科,公办,河北水利电力学院,d3401490ae060aeba2a934fc,运河区,116.799118100000001,38.294675120000001,35.1618004,116.794293945000007,38.292582723400002,116.804235042000002,38.296706603600001,116.799264493999999,38.294644663500002,108059,108063,4,50422,50420,2
786,378,205,沧州交通学院,4113014202.000000000000000,河北省教育厅,沧州市,本科,民办,沧州交通学院,bba873885811b4a0bca822f4,黄骅市,117.307591200000005,38.383507930000000,63.0331001,117.303233379999995,38.380833149600001,117.313259541999997,38.388461589700000,117.308246460999996,38.384647369600003,108244,108248,4,50381,50378,3
787,3361,2683,宁夏医科大学,4164010752.000000000000000,宁夏回族自治区,银川市,本科,公办,宁夏医科大学(雁湖校区),6087cebc847e8a82ad0457f0,兴庆区,106.274208599999994,38.412876580000002,47.2655983,106.268210159999995,38.409615812399998,106.279980097000006,38.415737102400001,106.274095127999999,38.412676457400003,104227,104231,4,50368,50365,3
788,3368,2685,北方民族大学,4164011407.000000000000000,国家民委,银川市,本科,公办,北方民族大学(西校区),f177c6121ffc45c6adb22a60,西夏区,106.093644400000002,38.496707630000003,32.3014984,106.091108696000006,38.493473991999998,106.096528715000005,38.499585709000002,106.093818705999993,38.496529850500004,104162,104164,2,50329,50326,3
789,3366,2685,北方民族大学,4164011407.000000000000000,国家民委,银川市,本科,公办,北方民族大学,c0f16dfc4e0d9d568505bf36,西夏区,106.102590599999999,38.496565259999997,73.9011002,106.090998751000001,38.493415636899996,106.108632263999993,38.500097520300002,106.099815507000002,38.496756578599999,104162,104168,6,50329,50326,3
790,3355,2682,宁夏大学,4164010749.000000000000000,宁夏回族自治区,银川市,本科,公办,宁夏大学(怀远校区),74c933fb5004a05e9e82ea19,西夏区,106.136690200000004,38.496209800000003,60.7246017,106.132581634000005,38.491863422300000,106.141609583000005,38.500110395800000,106.137095608999999,38.495986909099997,104177,104180,3,50330,50326,4
791,425,285,忻州师范学院,4114010124.000000000000000,山西省,忻州市,本科,公办,忻州师范学院(新校区),a7c2ab5bf756a77772210b49,忻府区,112.727547999999999,38.495178959999997,70.9493027,112.719055725000004,38.493932003799998,112.730579016999997,38.502511450199997,112.724817371000000,38.498221727000001,106575,106579,4,50329,50325,4
792,3357,2682,宁夏大学,4164010749.000000000000000,宁夏回族自治区,银川市,本科,公办,宁夏大学(贺兰山校区),7c5e480b4e5ca9b4adb22a14,西夏区,106.136453500000002,38.501941830000000,32.8818016,106.132708196999999,38.500525453100003,106.144325808000005,38.504479888900001,106.138517003000004,38.502502671000002,104177,104181,4,50326,50324,2
793,3358,2682,宁夏大学,4164010749.000000000000000,宁夏回族自治区,银川市,本科,公办,宁夏大学(文萃校区),c55824618273e71c00ff2de5,西夏区,106.127746500000001,38.502587290000001,33.3969002,106.122650488999994,38.500502222599998,106.132108869000007,38.504539390600002,106.127379679000001,38.502520806600003,104174,104177,3,50326,50324,2
794,3377,2689,银川科技学院,4164014200.000000000000000,宁夏回族自治区教育厅,银川市,本科,民办,银川科技学院,c21db9e5bf346e8300ff2d14,西夏区,106.148263700000001,38.513937089999999,35.3816986,106.143553951000001,38.511837194800002,106.152316356000000,38.516605702000000,106.147935153999995,38.514221448400001,104181,104184,3,50320,50318,2
795,558,418,大连交通大学,4121010150.000000000000000,辽宁省,大连市,本科,公办,大连交通大学(旅顺口校区),a841a488c3ddcb08dbeced16,旅顺口区,121.158425600000001,38.793384279999998,42.6655006,121.147423364999995,38.788835583699999,121.162815890000005,38.795800925999998,121.155119627000005,38.792318254900003,109644,109650,6,50191,50188,3
796,600,427,大连医科大学,4121010161.000000000000000,辽宁省,大连市,本科,公办,大连医科大学,6973cc962be22de04d776e50,旅顺口区,121.309724000000003,38.802863790000004,115.1740036,121.301005559000004,38.796077194100000,121.316556861999999,38.810420549100002,121.308781210999996,38.803248871599997,109700,109706,6,50188,50181,7
797,627,435,大连外国语大学,4121010172.000000000000000,辽宁省,大连市,本科,公办,大连外国语大学(旅顺校区),0b6acc59a4c1c51af50e7756,旅顺口区,121.303033600000006,38.812336420000001,61.0125999,121.298753834999999,38.804718843200000,121.309035664000007,38.816387724599998,121.303894749999998,38.810553283899999,109699,109703,4,50184,50178,6
798,646,441,辽宁对外经贸学院,4121010841.000000000000000,辽宁省教育厅,大连市,本科,民办,辽宁对外经贸学院,0b08f1cd6513537f08ccdd21,旅顺口区,121.151002399999996,38.818755130000000,54.0094986,121.145415201999995,38.815501111000003,121.156258631000000,38.821736099900001,121.150836916000003,38.818618605399998,109643,109647,4,50179,50176,3
799,263,157,河北农业大学,4113010086.000000000000000,河北省,保定市,本科,公办,河北农业大学(西校区),ab2c86b9e315d34f8bfc0653,竞秀区,115.439555499999997,38.826209830000003,66.8277969,115.432995184999996,38.822269084799998,115.448044198999995,38.828885389200003,115.440519691999995,38.825577236999997,107563,107569,6,50176,50173,3
800,262,157,河北农业大学,4113010086.000000000000000,河北省,保定市,本科,公办,河北农业大学,999b836d6d1d87bf2fe67b37,莲池区,115.477063099999995,38.849217490000001,36.6617012,115.470334644999994,38.845609267500002,115.482240059999995,38.852027260900002,115.476287352000000,38.848818264199998,107577,107581,4,50165,50162,3
801,230,117,南开大学滨海学院,4112013663.000000000000000,天津市教委,天津市,本科,民办,南开大学滨海学院,e85e252703deaa5295f08c20,滨海新区,117.443095999999997,38.861241120000003,60.2010002,117.437485860999999,38.856448818399997,117.446113288999996,38.867398283999997,117.441799575000005,38.861923551200000,108293,108296,3,50160,50155,5
