,序号,学校名称,学校标识码,主管部门,所在地,办学层次,备注,countOfCity
511,1084,安徽城市管理职业学院,4134013338,安徽省,合肥市,专科,,35
512,1085,安徽机电职业技术学院,4134013339,安徽省,芜湖市,专科,,5
513,1086,安徽工商职业学院,4134013340,安徽省,合肥市,专科,,35
514,1087,安徽中澳科技职业学院,4134013341,安徽省,合肥市,专科,,35
515,1088,阜阳科技职业学院,4134013342,安徽省教育厅,阜阳市,专科,民办,4
516,1089,亳州职业技术学院,4134013343,安徽省,亳州市,专科,,1
517,1090,安徽国防科技职业学院,4134013344,安徽省,六安市,专科,,3
518,1091,安庆职业技术学院,4134013345,安徽省,安庆市,专科,,4
519,1092,安徽艺术职业学院,4134013346,安徽省,合肥市,专科,,35
520,1093,马鞍山师范高等专科学校,4134013760,安徽省,马鞍山市,专科,,3
521,1094,安徽财贸职业学院,4134013845,安徽省,合肥市,专科,,35
522,1095,安徽国际商务职业学院,4134013846,安徽省,合肥市,专科,,35
523,1096,安徽公安职业学院,4134013847,安徽省,合肥市,专科,,35
524,1097,安徽林业职业技术学院,4134013848,安徽省,合肥市,专科,,35
525,1098,安徽审计职业学院,4134013849,安徽省,合肥市,专科,,35
526,1099,安徽新闻出版职业技术学院,4134013850,安徽省,合肥市,专科,,35
527,1100,安徽邮电职业技术学院,4134013851,安徽省,合肥市,专科,,35
528,1101,安徽工业职业技术学院,4134013852,安徽省,铜陵市,专科,,2
529,1102,民办合肥财经职业学院,4134014058,安徽省教育厅,合肥市,专科,民办,35
530,1103,安庆医药高等专科学校,4134014096,安徽省,安庆市,专科,,4
531,1104,安徽涉外经济职业学院,4134014132,安徽省教育厅,合肥市,专科,民办,35
532,1105,安徽绿海商务职业学院,4134014133,安徽省教育厅,合肥市,专科,民办,35
533,1106,合肥共达职业技术学院,4134014135,安徽省教育厅,合肥市,专科,民办,35
534,1107,蚌埠经济技术职业学院,4134014137,安徽省教育厅,蚌埠市,专科,民办,2
535,1108,民办安徽旅游职业学院,4134014165,安徽省教育厅,阜阳市,专科,民办,4
536,1109,徽商职业学院,4134014191,安徽省,合肥市,专科,,35
537,1110,马鞍山职业技术学院,4134014192,安徽省,马鞍山市,专科,,3
538,1111,安徽现代信息工程职业学院,4134014210,安徽省教育厅,淮南市,专科,民办,4
539,1112,安徽矿业职业技术学院,4134014229,安徽省教育厅,淮北市,专科,民办,2
540,1113,合肥信息技术职业学院,4134014230,安徽省教育厅,合肥市,专科,民办,35
541,1114,桐城师范高等专科学校,4134014273,安徽省,安庆市,专科,,4
542,1115,黄山职业技术学院,4134014296,安徽省,黄山市,专科,,2
543,1116,滁州城市职业学院,4134014297,安徽省,滁州市,专科,,2
