FID,num,uni_num,序号,学校名,学校标,主管部,所在地,办学层,备注,campusName,uid,area,lngN,latN,面积
153,207,111,270,唐山海运职业学院,4113014696.000000000000000,河北省教育厅,唐山市,专科,民办,唐山海运职业学院,e5d7f880b495a66ea1d23088,曹妃甸区,118.589923885000005,39.186135714400002,38.3988991
154,129,67,226,唐山工业职业技术学院,4113012787.000000000000000,河北省,唐山市,专科, ,唐山工业职业技术学院(曹妃甸校区),d42ac90e2754bdcb2b201ab2,曹妃甸区,118.562847813000005,39.199542180700000,76.0311966
155,265,145,338,朔州职业技术学院,4114014186.000000000000000,山西省,朔州市,专科, ,朔州职业技术学院,beabdbf453df8f997169d3b3,朔城区,112.400123231999999,39.300160770600002,33.3171997
156,278,152,345,朔州师范高等专科学校,4114014462.000000000000000,山西省,朔州市,专科, ,朔州师范高等专科学校,b723bc8817c6b20a0aa8d476,朔城区,112.449755800000005,39.375401720500001,39.2563019
157,124,65,224,唐山职业技术学院,4113012785.000000000000000,河北省,唐山市,专科, ,唐山职业技术学院,ad258d353ee3ca26cc06a4f9,丰南区,118.084514216000002,39.583685288300003,32.3326988
158,347,186,396,鄂尔多斯职业学院,4115014248.000000000000000,内蒙古自治区,鄂尔多斯市,专科, ,鄂尔多斯职业学院,fc1d78a902018e4bb6147fbf,康巴什区,109.818143946000006,39.615465167499998,55.0923004
159,356,195,405,鄂尔多斯生态环境职业学院,4115014501.000000000000000,内蒙古自治区,鄂尔多斯市,专科, ,鄂尔多斯生态环境职业学院,5baf948483cbc00200ff2d99,康巴什区,109.822360407999994,39.624398940799999,55.8436012
160,5,2,70,北京电子科技职业学院,4111010858.000000000000000,北京市,北京市,专科, ,北京电子科技职业学院(亦庄校区),69fcd6df1fc9fa2fcb291598,大兴区,116.502961675999998,39.769467050899998,48.6311989
161,14,6,74,北京农业职业学院,4111012448.000000000000000,北京市,北京市,专科, ,北京农业职业学院,b7b222953272a624ad31e526,房山区,116.222244216000007,39.771162510200000,51.5152016
162,120,62,221,秦皇岛职业技术学院,4113012773.000000000000000,河北省,秦皇岛市,专科, ,秦皇岛职业技术学院,efed8e3bc83d37d1bda2404b,北戴河区,119.475511436000005,39.838127920399998,44.5402985
163,293,158,351,山西通用航空职业技术学院,4114014697.000000000000000,山西省,大同市,专科, ,山西通用航空职业技术学院,2432afd98f1a83dd902ca371,云州区,113.390651425000001,39.936617386000002,32.3844986
164,190,98,257,廊坊燕京职业技术学院,4113014280.000000000000000,河北省,廊坊市,专科, ,廊坊燕京职业技术学院,30c818eafb9d70fe01294f42,三河市,116.984138622000003,39.969445076000000,36.2821999
165,29,13,81,北京汇佳职业学院,4111012568.000000000000000,北京市教委,北京市,专科,民办,北京汇佳职业学院,dffd4642d137b0b23c9a5e67,昌平区,116.237697299000004,40.192643958500000,31.1035004
166,365,201,474,营口职业技术学院,4121010181.000000000000000,辽宁省,营口市,专科, ,营口职业技术学院,8bc9588155a27f27f21937be,西市区,122.235116465000004,40.602155590000002,47.5620995
167,318,166,376,包头轻工职业技术学院,4115012671.000000000000000,内蒙古自治区,包头市,专科, ,包头轻工职业技术学院,e102414e78f813502dfaa74d,青山区,109.942209051999995,40.634788000699999,70.4886017
168,304,163,373,包头职业技术学院,4115012057.000000000000000,内蒙古自治区,包头市,专科, ,包头职业技术学院,89fd4ea3db47a547e5e9652e,青山区,109.947684694000003,40.643159830199998,38.2719002
169,379,210,483,盘锦职业技术学院,4121012063.000000000000000,辽宁省,盘锦市,专科, ,盘锦职业技术学院,2e30cc949abe4e8838e4a604,大洼区,122.100412121000005,40.726958401499999,35.9915009
