FID,Join_Count,FID_,num,campusID,name,address,uid,city,type,district,lngN,latN,area,Gn_area,绿地率,植被率,平均ndvi,建筑密,轮廓紧,绿破碎,绿差异,绿均值,绿极大,交叉点,路密度,圈复杂,绿_建,建绿比,建植被,交叉密,绿连接,均路长,建均衡,绿均衡,contextGn,river,tree,bush,总,grass,多样性
20,18,20,1,4132010284.000000000000000,南京大学(鼓楼校区),江苏省南京市鼓楼区汉口路22号,a26d3f62be10d143343a712a,南京市,本科,鼓楼区,118.774420629999995,32.057286172600001,37.9651985,8.6470299,0.2277620,45.4782982,25.8985004,0.6839080,0.6055740,31.4559002,0.101906776430000,0.0316741,1.1628300,431.9750061,37.0710983,28,2.7840900,0.3354140,0.3297690,10.9125004,0.9890770,56.163032368800003,0.1873920,0.1329320,0.0458100,0.0003696,0.6053740,0.2346630,172723.0000000,0.1595950,0.9398070
21,43,21,53,4132011287.000000000000000,南京审计大学(浦口校区),南京市浦口区雨山西路86号,62c2117f458fcf2b744ff13e,南京市,本科,浦口区,118.603297345000001,32.065100895199997,119.0469971,39.5843010,0.3325100,57.1502991,28.5697002,0.2563630,0.8245840,6.3408999,0.374749554790000,0.1570800,2.7216899,55.4403000,10.7453003,14,5.3033700,0.3927230,0.2843810,5.8137102,0.9413510,138.378803272999988,0.2341620,0.1782570,0.1041310,0.1395760,0.3205980,0.3537760,790723.0000000,0.1860500,1.3200400
22,37,22,18,4132010298.000000000000000,南京林业大学(新庄校区),江苏省南京市玄武区龙蟠路159号,d195e502c5bdba02970319ab,南京市,本科,玄武区,118.811811431999999,32.080719762199998,93.2451019,34.2462997,0.3672720,58.7308006,33.0546989,0.4835150,0.6499700,16.3813000,0.746969938604000,0.0609365,17.6539001,261.6759949,28.2546005,66,1.9320800,0.3964540,0.3707840,11.2370005,0.9971760,68.427240708799999,0.2944840,0.2619820,0.4388170,0.0470181,0.5661330,0.2167490,574655.0000000,0.1701000,1.0985600
23,17,23,68,4132013994.000000000000000,南京审计大学金审学院,江苏省南京市栖霞区仙林大道100号,ba149baa157ac7219122e00f,南京市,本科,栖霞区,118.912096720999998,32.089419044300001,33.5689011,11.8326998,0.3524900,44.1745987,22.7465992,0.3556420,0.8482240,11.7470999,0.173222489556000,0.0845191,1.1752599,134.0529938,27.5401001,5,1.2744401,0.4278170,0.2670680,8.5966101,0.9957820,94.176576745800006,0.2274730,0.2353090,0.1579800,0.0620223,0.3762290,0.3959540,158095.0000000,0.1657920,1.2049900
24,75,24,12,4132010291.000000000000000,南京工业大学,江苏省南京市浦口区浦珠南路30号,1c3ba7fb5d1da274df1e5221,南京市,本科,浦口区,118.634748737999999,32.085020061599998,213.6199951,40.6815987,0.1904390,53.6912994,27.3127003,0.3030310,0.7690220,12.1430998,0.302935604351000,0.0821850,3.6137900,125.4560013,17.6140003,31,11.0465002,0.2004150,0.3044390,10.0698004,0.8142540,95.571900900299994,0.2051290,0.2146560,0.0917200,0.0740400,0.3498470,0.4105630,1238670.0000000,0.1655460,1.2234000
25,22,25,37,4132010329.000000000000000,江苏警官学院(浦口校区),南京市浦口区石佛寺三宫48号,03f6fc6e65b28fe2c71e51b0,南京市,本科,浦口区,118.651707032999994,32.095012596799997,43.8870010,16.7931995,0.3826460,39.9980011,16.0226002,0.3282950,0.6810940,9.9445000,0.310549486812000,0.0999598,3.4435599,118.4860001,19.8813000,17,1.0814800,0.4652230,0.1900300,12.0728998,0.9940480,115.181251013999997,0.2909930,0.1626540,0.0584524,0.1086540,0.1423670,0.3507950,196937.0000000,0.3981860,1.2528300
26,32,26,27,4132010315.000000000000000,南京中医药大学(仙林校区),江苏省南京市栖霞区仙林大道138号,15e1e85eab4b81bb5810934c,南京市,本科,栖霞区,118.940562129000000,32.103867827000002,72.1736984,26.6280994,0.3689450,40.4906998,18.7082005,0.3451600,0.6708020,16.0356998,0.238193171545000,0.0622153,3.6183600,178.7350006,27.0919991,51,1.1507100,0.4264470,0.2127690,6.4005599,0.9921940,80.763276363599999,0.2011810,0.2085510,0.3744890,0.0965278,0.2578270,0.3777340,323459.0000000,0.2679110,1.2957600
27,23,27,86,4132013106.000000000000000,南京铁道职业技术学院(浦口校区),江苏省南京市浦口区珍珠南路65号,babe236f19c5571c2fb908f7,南京市,专科,浦口区,118.693753676000000,32.103717077699997,53.3618011,19.2541008,0.3608220,47.6291008,20.2877007,0.2775690,0.8467510,13.1920004,0.341063051671000,0.0755063,4.3378801,181.7779999,20.5930004,15,1.3591000,0.3822890,0.1998810,18.9097996,0.9657410,74.925554662799996,0.2009480,0.2093170,0.0495107,0.1453460,0.1373450,0.4428570,297381.0000000,0.2744510,1.2685601
28,39,28,33,4132010327.000000000000000,南京财经大学(仙林校区),江苏南京市仙林大学城文苑路3号,21067036d26eef739e95decd,南京市,本科,栖霞区,118.917658005999996,32.109744171700001,88.5195999,37.3809013,0.4222900,41.7282982,21.5671005,0.3151700,0.5382440,8.2395000,0.679763707308000,0.1209740,11.2075996,204.4739990,30.8523998,55,0.4508850,0.4601370,0.2411060,10.2561998,0.9801080,75.608241754100007,0.2303580,0.1925640,0.1176190,0.1285280,0.3606610,0.3512580,423854.0000000,0.1595540,1.2918400
29,48,29,13,4132010293.000000000000000,南京邮电大学(仙林校区),江苏省南京市栖霞区文苑路9号,bbf5fedaa64e73a55abbbca2,南京市,本科,栖霞区,118.925832747000001,32.115774131499997,125.0390015,72.3050995,0.5782600,51.3541985,23.7574005,0.2637990,0.7859390,5.0065598,1.156306193400000,0.1991880,18.0855999,150.3529968,19.7287006,51,3.3635299,0.5754750,0.2264570,9.1155596,0.9866120,73.676367042899997,0.1857380,0.2300190,0.0400360,0.0761566,0.2798450,0.3524800,695061.0000000,0.2915190,1.2793800
30,28,30,44,4132010850.000000000000000,南京工业职业技术大学(仙林校区),江苏省南京市栖霞区仙林大学城羊山北路1号,285b5874c43858e4cf06a4bb,南京市,本科,栖霞区,118.935526502000002,32.122697381999998,72.9997025,39.0682983,0.5351840,51.1041985,23.7395992,0.2615340,0.8391650,4.1721802,0.961612015292000,0.2382210,7.3018498,169.8639984,19.0904999,39,0.7835410,0.4855810,0.2227690,7.7898402,0.9887420,67.733569572600004,0.2126680,0.2478110,0.0709362,0.1861650,0.2117120,0.3966220,458397.0000000,0.2055000,1.3336000
31,78,31,2,4132010284.000000000000000,南京大学(仙林校区),江苏省南京市栖霞区仙林大道163号,cfe4cb9504cf581697f08c65,南京市,本科,栖霞区,118.953449899000006,32.121551598400004,246.6280060,120.6800003,0.4893200,52.5309982,29.8619003,0.3179470,0.8478790,7.1677198,2.161362152430000,0.1393530,62.6766014,166.6479950,20.1511993,134,4.9529300,0.4665110,0.2685370,7.5395098,0.9741760,77.075023223599999,0.2362790,0.2661380,0.1739220,0.0314688,0.5506240,0.3032980,1337660.0000000,0.1146050,1.0475100
32,17,32,11,4132010288.000000000000000,南京理工大学(紫金校区),江苏省南京市栖霞区文澜路89号,438f6111a5448715f8dc85d1,南京市,本科,栖霞区,118.929339714999998,32.128260451599999,38.8928986,14.2215996,0.3656610,37.3162994,16.5013008,0.3522850,0.8997080,11.3207998,0.234241330377000,0.0877878,2.0136600,257.1159973,29.3509007,33,0.9735450,0.4693040,0.2148530,7.4993501,0.9767880,62.829610641800002,0.2067230,0.2389560,0.0722910,0.0197389,0.1827610,0.5308130,148057.0000000,0.2666840,1.0767601
33,22,33,88,4132013112.000000000000000,南京信息职业技术学院,江苏省南京市栖霞区文澜路99号,6e2f779398c30cb3adb22a85,南京市,专科,栖霞区,118.936698852000006,32.131030611200003,57.3000984,19.0935993,0.3332210,38.6657982,16.8113003,0.3216660,0.8937640,13.0934000,0.301720440035000,0.0760702,3.9746699,179.7550049,27.8696003,23,2.0853300,0.3880470,0.1970440,8.0130901,0.9861400,74.951487704900003,0.2305050,0.1465050,0.0129853,0.1000970,0.1621160,0.4666720,246200.0000000,0.2711130,1.2348700
34,20,34,22,4132010307.000000000000000,南京农业大学(浦口校区),江苏省南京市浦口区点将台路40号,3cf7cd8583ff1f66b320a8f5,南京市,本科,浦口区,118.694239863000007,32.134935599899997,37.3566017,16.2280998,0.4344100,67.6689987,33.5839996,0.3567590,0.6685460,7.8259301,0.518801061458000,0.1267820,4.8242402,160.6139984,16.7229004,9,3.4898300,0.4577800,0.3509390,14.6213999,0.9930160,72.918275399699993,0.2445810,0.2334570,0.0405482,0.0096551,0.3793750,0.3660030,255253.0000000,0.2449670,1.1249599
35,21,35,3,4132010284.000000000000000,南京大学(浦口校区),江苏省南京市浦口区学府路8号,8c499c8444279faed6851fbc,南京市,本科,浦口区,118.700112540000006,32.179538307300000,67.8964996,31.6833000,0.4666410,69.7547989,33.5055008,0.3056900,0.8483280,7.2277799,0.562201786909000,0.1377530,5.0998302,184.1040039,20.4209003,39,1.4181300,0.5349930,0.3640760,10.4619999,0.9856190,69.031756167599994,0.1675220,0.2276970,0.1052660,0.0760719,0.3304880,0.3204550,512606.0000000,0.2729850,1.2809900
36,49,36,20,4132010300.000000000000000,南京信息工程大学,南京市浦口区宁六路219号,9b9d46a4b34128d8b11e36e3,南京市,本科,浦口区,118.710164930999994,32.205407682699999,132.8269958,65.2693024,0.4913860,37.4118004,15.6330996,0.3522750,0.6888710,4.9180899,0.939649511301000,0.2027000,12.1941004,190.4730072,20.5167007,81,2.5766699,0.5315280,0.1690720,6.0085902,0.9824360,67.649293495799995,0.2180410,0.2574950,0.0730530,0.1015040,0.1320150,0.4570970,553069.0000000,0.3093830,1.2203200
37,50,37,0,4132010316.000000000000000,中国药科大学(江宁校区), ,fcc1398d114cd774a3acc404,南京市,本科,江宁区,118.913106372000001,31.905020111999999,146.1080017,75.3834991,0.5159440,57.4982986,23.5625992,0.2170650,0.8989890,4.6296601,1.159873967510000,0.2153820,16.2119007,69.8114014,12.3107004,30,1.2020900,0.5398380,0.2400810,3.2591801,0.9699740,118.498000426999994,0.1932790,0.2563620,0.0009986,0.1376560,0.1877300,0.2666020,974201.0000000,0.4080110,1.3052100
