num,uni_num,序号,学校名称,学校标识码,主管部门,所在地,办学层次,备注,campusName,lng,lat,uid,area,get,lngN,latN
187,97,256,宣化科技职业学院,4113014260,河北省,张家口市,专科,,宣化科技职业学院(东校区),115.073584,40.624355,662aed9460f626b9ab175a9d,宣化区,1,115.060612304478,40.6165698911335
190,98,257,廊坊燕京职业技术学院,4113014280,河北省,廊坊市,专科,,廊坊燕京职业技术学院,116.99671,39.976942,30c818eafb9d70fe01294f42,三河市,1,116.984138621731,39.9694450760405
191,99,258,承德护理职业学院,4113014281,河北省,承德市,专科,,承德护理职业学院,117.960437,40.957721,ca0f1cb0e9cb411ec9c3db06,双桥区,1,117.947744950543,40.9498341028629
192,101,260,廊坊卫生职业学院,4113014335,河北省,廊坊市,专科,,廊坊卫生职业学院,116.742221,39.615064,6ff8b90eede0188929fc4878,广阳区,1,116.729720566672,39.6077734022545
193,102,261,河北轨道运输职业技术学院,4113014396,河北省,石家庄市,专科,,河北轨道运输职业技术学院(西校区),114.482012,38.062119,97066f0f9c7b720c71210b11,新华区,1,114.469449611429,38.0550321061643
194,102,261,河北轨道运输职业技术学院,4113014396,河北省,石家庄市,专科,,河北轨道运输职业技术学院(东校区),114.706274,38.024715,ea76a50b1fc36df79a0050fc,藁城区,1,114.693920253779,38.0179333842949
195,103,262,保定幼儿师范高等专科学校,4113014460,河北省,保定市,专科,,保定幼儿师范高等专科学校(定兴校区),115.816372,39.273602,c9ce112ffa33c625901fc9eb,定兴县,1,115.803877197688,39.2663043255053
196,104,263,河北工艺美术职业学院,4113014471,河北省,保定市,专科,,河北工艺美术职业学院,115.26238,38.949126,0acaa6b1e5d256a8fb0caded,满城区,1,115.249578951718,38.9426303394981
197,104,263,河北工艺美术职业学院,4113014471,河北省,保定市,专科,,河北工艺美术职业学院(瑞祥街),115.495936,38.889004,22e114070b6547b5d5b74e14,竞秀区,1,115.483080582563,38.8824429487055
198,105,264,渤海理工职业学院,4113014472,河北省教育厅,沧州市,专科,民办,渤海理工职业学院,117.321172,38.398501,2330d5bf3fa399c6a4c7564c,黄骅市,1,117.308316394008,38.3920169151091
199,106,265,唐山幼儿师范高等专科学校,4113014586,河北省,唐山市,专科,,唐山幼儿师范高等专科学校,118.767658,39.744724,eeb7e97b6b5ffbe6081cc7e9,滦州市,1,118.75503001616,39.7376187053523
200,107,266,曹妃甸职业技术学院,4113014601,河北省教育厅,唐山市,专科,民办,曹妃甸职业技术学院,118.607041,39.188952,27f51aa7dd15d318704b8775,曹妃甸区,1,118.5947294867,39.18227063509
202,108,267,承德应用技术职业学院,4113014632,河北省,承德市,专科,,承德应用技术职业学院,117.932782,40.878286,2a0d602f708d63f86ca3cc89,双桥区,1,117.920027613846,40.8709201023219
204,109,268,邯郸幼儿师范高等专科学校,4113014686,河北省,邯郸市,专科,,邯郸幼儿师范高等专科学校,114.212071,36.662804,a05feaa8db45eb5425e0a054,武安市,1,114.1994410556,36.6566366295898
205,109,268,邯郸幼儿师范高等专科学校,4113014686,河北省,邯郸市,专科,,邯郸幼儿师范高等专科学校(大名校区),115.158387,36.29446,925c550f6580e4b25a3ac86b,大名县,1,115.145746109883,36.2885421457583
206,110,269,邯郸科技职业学院,4113014695,河北省,邯郸市,专科,,邯郸科技职业学院,114.428306,36.460492,59b50716d0268ca526d2bbc5,邯山区,1,114.415600309958,36.4545591189158
207,111,270,唐山海运职业学院,4113014696,河北省教育厅,唐山市,专科,民办,唐山海运职业学院,118.602207,39.192901,e5d7f880b495a66ea1d23088,曹妃甸区,1,118.589923884998,39.1861357143721
209,112,271,邢台应用技术职业学院,4113014742,河北省教育厅,邢台市,专科,民办,邢台应用技术职业学院,115.336114,36.994302,cca94205b6da63790b69d9c3,威县,1,115.323616102041,36.987457172482
210,113,306,山西省财政税务专科学校,4114011630,山西省,太原市,专科,,山西省财政税务专科学校,112.52385,37.857968,ebad788f3d9a194ac17da239,万柏林区,1,112.51085441637,37.8515459518233
212,113,306,山西省财政税务专科学校,4114011630,山西省,太原市,专科,,山西省财政税务专科学校(北院),112.525292,37.860666,5ff01fdae0d58c938605bfe8,万柏林区,1,112.512310861678,37.854228859576
