FID,num,序号,学校名,学校标,主管部,所在地,办学层,备注,campusName,uid,area,lngN,latN,面积,lngC,latC
1172,906,1473,临沂科技职业学院,4137014708.000000000000000,山东省,临沂市,专科, ,临沂科技职业学院,746e74098779923dadcb6629,河东区,118.497991018999997,35.110453161199999,80.1447983,118.503468772999994,35.108864174899999
1173,923,1544,河南工业和信息化职业学院,4141012581.000000000000000,河南省,焦作市,专科, ,河南工业和信息化职业学院,fb6e0ad2af250ad93f9a5e37,山阳区,113.283780190000002,35.197443488600001,29.5746002,113.283966175000003,35.197328967499999
1174,931,1579,新乡职业技术学院,4141014245.000000000000000,河南省,新乡市,专科, ,新乡职业技术学院,5e53af1a376f5b224051c09b,红旗区,114.036272049000004,35.279274261099999,53.1915016,114.037642613000003,35.279319025800000
1175,899,1463,菏泽职业学院,4137014477.000000000000000,山东省,菏泽市,专科, ,菏泽职业学院,1b72c761216758e0c5f50d5b,牡丹区,115.471434208999995,35.280121614300000,43.1016998,115.471631070000001,35.280329209300000
1176,937,1607,濮阳医学高等专科学校,4141014597.000000000000000,河南省,濮阳市,专科, ,濮阳医学高等专科学校,961df256ff9c330a8e77273b,华龙区,114.986293281000002,35.811621928199997,34.1342010,114.986039121000005,35.811595113099997
1177,888,1433,潍坊工商职业学院,4137013388.000000000000000,山东省教育厅,潍坊市,专科,民办,潍坊工商职业学院,4ab687da5d5d35b27069d3cb,诸城市,119.490549612999999,35.957698645500002,71.6780014,119.490549102000003,35.957699772900000
1178,206,269,邯郸科技职业学院,4113014695.000000000000000,河北省,邯郸市,专科, ,邯郸科技职业学院,59b50716d0268ca526d2bbc5,邯山区,114.415600310000002,36.454559118900001,55.0999985,114.415222712000002,36.454617541099999
1179,870,1403,山东劳动职业技术学院,4137012329.000000000000000,山东省,济南市,专科, ,山东劳动职业技术学院(长清校区),49a02a7a76bc6a412b201a50,长清区,116.812237784999994,36.572508972199998,76.6545029,116.812234442000005,36.572502094100003
1180,93,210,邯郸职业技术学院,4113011034.000000000000000,河北省,邯郸市,专科, ,邯郸职业技术学院,b292b3aa65dca256be484263,邯山区,114.505575617000005,36.582430212299997,34.0872993,114.505680494999993,36.582586200700000
1181,885,1431,济南职业学院,4137013323.000000000000000,山东省,济南市,专科, ,济南职业学院(彩石校区),341c35deca5ab4bfe607386d,历城区,117.254643357999996,36.633338255600002,50.3698006,117.255189588999997,36.633159830700002
1182,166,245,河北司法警官职业学院,4113013690.000000000000000,河北省,邯郸市,专科, ,河北司法警官职业学院,07f3c8b5c26f96636240a961,丛台区,114.483532194000006,36.647965713100000,48.4253006,114.485199042999994,36.648195290600000
1183,204,268,邯郸幼儿师范高等专科学校,4113014686.000000000000000,河北省,邯郸市,专科, ,邯郸幼儿师范高等专科学校,a05feaa8db45eb5425e0a054,武安市,114.199441055999998,36.656636629600001,36.5139008,114.200321235999994,36.655288420300003
1184,892,1451,山东传媒职业学院,4137014193.000000000000000,山东省,济南市,专科, ,山东传媒职业学院(章丘校区),447c70cb40f7107a130daa86,章丘区,117.474994542999994,36.663151544500003,50.2107010,117.474947993000001,36.662885296699997
1185,875,1411,山东科技职业学院,4137012819.000000000000000,山东省,潍坊市,专科, ,山东科技职业学院,f3c2373c7afbe353d22dd634,潍城区,119.018185398000000,36.662618827300001,147.8970032,119.011486078000004,36.664805998699997
1186,901,1465,威海海洋职业学院,4137014507.000000000000000,山东省,威海市,专科, ,威海海洋职业学院,3df537c8af62aa420c0e6b69,荣成市,122.434326186000007,37.063162568599999,40.3414993,122.433039272000002,37.063084391899999
1187,883,1424,山东信息职业技术学院,4137013012.000000000000000,山东省,潍坊市,专科, ,山东信息职业技术学院(滨海校区),a5c7d23c37e90625dc1e52ff,寒亭区,119.194174763999996,37.081638477100000,46.7667999,119.194109526000005,37.081574326400002
1188,873,1406,潍坊职业学院,4137012391.000000000000000,山东省,潍坊市,专科, ,潍坊职业学院(滨海校区),fa88646564d7a0dedeee8b5a,寒亭区,119.200045936999999,37.085814275899999,64.9524994,119.201738188999997,37.083756208399997
1189,147,236,河北机电职业技术学院,4113013393.000000000000000,河北省,邢台市,专科, ,河北机电职业技术学院,befdb29296bd99e186154189,信都区,114.453125528000001,37.094224305600001,44.8387985,114.453126130000001,37.094221788100000
1190,280,346,吕梁职业技术学院,4114014500.000000000000000,山西省,吕梁市,专科, ,吕梁职业技术学院(南校区),7b7279104d8732ba84154175,孝义市,111.750069010000004,37.115933960299998,35.8174019,111.747654296999997,37.116276523600000
1191,279,346,吕梁职业技术学院,4114014500.000000000000000,山西省,吕梁市,专科, ,吕梁职业技术学院,a9221fd06ff270b2da2f280e,孝义市,111.760848941000006,37.119348968899999,29.8752995,111.762413854000002,37.119493991600002
1192,134,227,邢台医学高等专科学校,4113012884.000000000000000,河北省,邢台市,专科, ,邢台医学高等专科学校(皇寺校区),3d9236d43f4a63c1cafa5f05,信都区,114.361018908999995,37.177931503099998,47.9248009,114.360622911999997,37.177563084100001
1193,233,316,阳泉职业技术学院,4114012893.000000000000000,山西省,阳泉市,专科, ,阳泉职业技术学院,bd95e3444babd2ec8f1a89a7,郊区,113.620686329999998,37.887627322500002,32.3588982,113.618473008999999,37.889230131500000
1194,1040,2690,宁夏民族职业技术学院,4164012716.000000000000000,宁夏回族自治区,吴忠市,专科, ,宁夏民族职业技术学院,5ce2637d8889302fae31e518,利通区,106.150076050999999,37.969180114799997,59.9883003,106.150147488000002,37.969183754699998
1195,143,232,河北化工医药职业技术学院,4113013072.000000000000000,河北省,石家庄市,专科, ,河北化工医药职业技术学院,61fb1f9e1d85fca517b54bc5,裕华区,114.597570876000006,37.989013492200002,45.0899010,114.597620253000002,37.988322957500003
1196,138,230,石家庄财经职业学院,4113013070.000000000000000,河北省教育厅,石家庄市,专科,民办,石家庄财经职业学院(卧龙校区),0f7307b61524b1cfd6b74e88,鹿泉区,114.276307333999995,38.117045186600002,45.1111984,114.278209989999993,38.116863289999998
1197,106,216,河北政法职业学院,4113012408.000000000000000,河北省,石家庄市,专科, ,河北政法职业学院(新校区),23116913ed5f78fd734b8764,新华区,114.456506861999998,38.137502333900002,32.4252014,114.456171342999994,38.137056608599998
1198,99,211,石家庄职业技术学院,4113011238.000000000000000,河北省,石家庄市,专科, ,石家庄职业技术学院(正定新区新校区),6f62cb61b80bc4e943d63ea5,正定县,114.655102021000005,38.145762157400000,48.0541992,114.654896894000004,38.145395533299997
1199,144,233,石家庄信息工程职业学院,4113013073.000000000000000,河北省,石家庄市,专科, ,石家庄信息工程职业学院(新校区),5890c1c9f3d78c97095cb35b,藁城区,114.675818231999997,38.149915048300002,101.9990005,114.681237953999997,38.148594857399999
1200,172,248,石家庄医学高等专科学校,4113014018.000000000000000,河北省教育厅,石家庄市,专科,民办,石家庄医学高等专科学校,b7c83b72213ab97dc9c3db59,灵寿县,114.411592338999995,38.261274299699998,65.2581024,114.411677640999997,38.261362886599997
1201,170,246,沧州医学高等专科学校,4113013779.000000000000000,河北省,沧州市,专科, ,沧州医学高等专科学校,5fcfcd5088b718a315a190e3,运河区,116.797719461000000,38.284166247000002,47.8212013,116.797505744000006,38.285224531899999
1202,198,264,渤海理工职业学院,4113014472.000000000000000,河北省教育厅,沧州市,专科,民办,渤海理工职业学院,2330d5bf3fa399c6a4c7564c,黄骅市,117.308316394000002,38.392016915100001,33.5153008,117.309597373000003,38.392679948500003
1203,1042,2693,宁夏工商职业技术学院,4164013087.000000000000000,宁夏回族自治区,银川市,专科, ,宁夏工商职业技术学院,00f1c7fbf41a081fc056ac39,西夏区,106.126010277000006,38.525683501400003,79.2539978,106.125882113000003,38.525447546700001
1204,68,139,天津石油职业技术学院,4112013701.000000000000000,天津市,天津市,专科, ,天津石油职业技术学院,550fd5f944d1a878931fc9c1,静海区,117.212320745000000,38.842016099699997,36.7591019,117.212176295999996,38.842064835300000
1205,59,133,天津国土资源和房屋职业学院,4112012803.000000000000000,天津市,天津市,专科, ,天津国土资源和房屋职业学院,be1ea5efd3cfb8be14948e20,滨海新区,117.447097374999998,38.867814303899998,30.3890991,117.447096810999994,38.867815684500002
1206,89,145,天津海运职业学院,4112014022.000000000000000,天津市,天津市,专科, ,天津海运职业学院,f3cfca73fd2fff542db96d6b,津南区,117.358469162999995,39.001627816700001,41.9175987,117.358451744999996,39.001603604400003
1207,52,127,天津电子信息职业技术学院,4112012720.000000000000000,天津市,天津市,专科, ,天津电子信息职业技术学院,27baea166a28bb531b11d544,津南区,117.371169679000005,39.007878604200002,44.7094994,117.371375861999994,39.007695914700001
1208,57,132,天津商务职业学院,4112012788.000000000000000,天津市,天津市,专科, ,天津商务职业学院,8a84ced3ba988c11343a71ce,津南区,117.339843555000002,39.009565464500000,35.2372017,117.339941972999995,39.009538542700000
